source,target,direction,origin
"""""""Avec Eseka, on les a vus s'activer, vouloir se donner bonne conscience, réaliser peut-être le fossé existant entre les différentes couches. """"""",le Eseka ƒe aƒɔku sia me la miekpɔ woƒe dzro nyui ɖewohĩ kple susu sia be yewo ahe ʋe siwo li,fra-ewe,afrolingu
"On découvrait ainsi les tourtereaux très souriants et décontractés, collés l’un contre l’autre",Miekpɔ lɔlɔ̃tɔ eveawo wole nu kom heta ɖe wonɔewo ŋue.,fra-ewe,mafand
"Pour l’heure, seuls 2 des contrats d’achats anticipés conclus par la Commission européenne ont été signés, avec le suédo-britannique AstraZeneca ainsi qu’avec le duo franco-britannique Sanofi-GSK, pour 300 millions de doses dans les deux cas",Miedo go mianɔewo le Twitter dzi eye eye mianɔewokpɔkpɔ zi gbã tɔe nye esi miezɔ mɔ ɖe du yi Teranga dua me.,fra-ewe,mafand
"""""""Oui, elle est rejetée par la majorité en Afrique. """"""",ele eme be ama geɖee tsri eƒe nya le Afrika,fra-ewe,afrolingu
tso gake aƒetɔ Tsala Essomba kple srɔ̃a meɖiɖi ho si wosaa kotsu la dzi kpo o,"""""""Pourtant le sieur Tsala Essomba n'a jamais arrêté de mettre ses costumes hors de prix, ni lui ni sa femme. """"""",ewe-fra,afrolingu
"Moi j’ai considéré que le plus important était qu’on élève bien les enfants, qu’on les aime",Nyea mekpɔe be nyuitɔe nye be miahe ɖeviawo nyuie eye miana lɔlɔ̃ woe.,fra-ewe,mafand
menye na nye ɖeɖe alo nye kplii ta o ke boŋ ɖe eya ŋutɔ ta,"Pas uniquement à cause de moi, ou à cause de nous deux, mais surtout pour lui-même",ewe-fra,afrolingu
wohea ɖetugbuiwo be woakpɔ lɔlɔ̃ abe nusi ko woana ene,"Alors, les filles sont souvent élevées pour voir l'amour uniquement comme quelque chose qu'elles doivent donner,",ewe-fra,afrolingu
Merci Befoune pour cette intéressante réflexion.,akpe na Befoune ɖe aɖaŋuɖeɖe nyui sia ta,fra-ewe,afrolingu
gakpɔkpɔ vivvo mede megbe na nye susua o kemedzi be ne ɖewo mexe fe o hã woaxlẽ nu faa,Je ne me suis pas assez focalisée sur des services qui pourraient rapporter de l’argent et très souvent je voulais que des enfants participent à des activités même quand ils ne payaient pas,ewe-fra,afrolingu
"Ne eɖui be yanɔ dodom kple ame bubu ke menye be miadɔ o hã la, esia meɖe bubu fia o.","Si vous préférez flirter avec d’autres personnes plutôt qu’avec votre partenaire, même sans avoir comme but de passer à l’acte, c’est un manque de respect",ewe-fra,mafand
"Ke, magawɔe nenye be mɔnulpɔkpɔ ga su asinye lae.","Donc, évidemment, je le referais », si l’occasion se présentait à nouveau, a déclaré M",ewe-fra,mafand
"Au début il a été apeuré par le spectacle autour de lui, mais maintenant il ne pense qu'à son ventre,",evɔ le nusiwo dzɔ le gɔme dzedzea gake fifia la eƒe ƒodo yé le nae vevié,fra-ewe,afrolingu
"Philomène se servit encore du vin, qu’elle but, lentement",philo ga ku wein eye wole enom blewuuu,fra-ewe,afrolingu
"ke amesiwo dzia be yewoawɔ mɔzɔzɔ sia ƒomeviwo la,gblẽa woƒe mɔzɔgbalẽwo dome eye wozãa esiwo flulfuwo","""""""En effet, ceux qui décident de se lancer dans cette traversée périlleuse détruisent la plupart du temps leurs pieces d'identité ou circulent avec de faux papiers. """"""",ewe-fra,afrolingu
"Cet été, la jeune chanteuse a sorti un hit qui a fait bouger la France entière baptisé “Anissa”",esime amewo nɔ vevesem la amesitsalawo nɔa azã ɖum alo nɔa sɔleme dem,fra-ewe,afrolingu
"mieƒonu tso fuɖeɖe ,blanuilélé ,vimadzimadzi kple bubuwo siaa ŋu","""""""Les sujets abordés allaient de l'endométriose à l'avortement, en passant par la dépression, la stérilité (que j'ai présenté) ou encore les fibromes (un e-book récapitulatif sera bientôt disponible sur le site de l'association). """"""",ewe-fra,afrolingu
esiwo dzi amewo meɖe xɔ̃lɔ̃ fia o eye womeda kɔ alo wɔ adzre o la dzi,"ces journées où plus personne ne se donne des tapes amicales, où personne ne se bagarre, où personne ne hausse le ton",ewe-fra,afrolingu
"Nous avons emprunté le subway la plupart du temps,",mieɖo metro zi geɖe,fra-ewe,afrolingu
"On ne peut pas se contenter de faire une fausse réplique de ce qui existe déjà, et espérer ratisser large en jouant sur l’appartenance à un même espace géographique",menyo be awɔ nu si li xoxo ƒe nɔnɔme axe nɔ te nɔm kpɔ ŋgɔyiyi elabe mienye du ɖekametɔwo ta o,fra-ewe,afrolingu
"Cette première édition des BJKDs était magnifique mais j'ai l'impression qu'il y a encore beaucoup de choses à découvrir sur le personnage de Bénédicte Janine Kacou Diagou,","BJKD ƒe tata gbãtɔ sia nyakpɔ ŋutɔ eye mekpɔ be nu geɖewo li siwo miakpɔ le Bénédicte Janine Kacou Diagou,nuwɔla sia ŋu",fra-ewe,afrolingu
enya tɔtɔ ɖe eɖokui kple miawo siaa nu,"Il sait toujours s’arrêter et nous arrêter, à temps",ewe-fra,afrolingu
"Physiquement, je travaille dur pour me préparer et être prêt le plus tôt possible »",Mele dzadzram ɖo ɖi le lãmenyawo me hena gbesɔsɔ.,fra-ewe,mafand
"La séquence a été diffusée mardi 22 septembre sur la chaîne ABC, lors d’une émission spéciale consacrée au classement 2020 des personnalités les plus influentes de l’année selon Time magazine",Woɖe nua fia le ABC dzi le ɖoɖo aɖe si ɖea ameŋkuta siwo le ƒè 2020 la me la fia.,fra-ewe,mafand
na k kɔŋue dzɔ ɖe edzi?,Mais qu’est-ce qui a bien pu lui arriver,ewe-fra,afrolingu
"""me battre pour faire respecter mes droits""""€¦""",esia gɔme ɖee; be miawo ŋutɔwoe ɖo dɔƒe na mia ɖokuiwo le kuxiawo mea,fra-ewe,afrolingu
"Mais alors qu’elle croyait tous ses problèmes derrière elle, Sabel devra également faire face aux tourments de sa vie de mère",esi wosusu be yeƒe kuxiwo vɔ la ele nae be wogakpe akɔ eƒe dadanyenye gbe la hã,fra-ewe,afrolingu
"Tu auras le droit de m’en vouloir, mais rappelle-toi que je ne te dois rien",nunye ave dɔme nawo faa ke hã ɖo ŋui be nyemenyi fe aɖeke ɖe wo o,fra-ewe,afrolingu
Il n’est pas facile de se relever de scandales pareils,mefa be ame nado le nu sia me o,fra-ewe,afrolingu
"Et pour cacher ma gêne, je suis allé lui resservir du jus de fruit",eye ne maɣla nye ŋukpẽa la meyi ɖa ku atsikutsetseha nae,fra-ewe,afrolingu
"il est venu me demander de sortir, et avec force, ils m’ont prise par la main",Eva gblɔ nam be mado eye wohee sesie.,fra-ewe,mafand
ŋkukpatɔ le afii,Fard à paupières ici,ewe-fra,afrolingu
nuka miawɔ ne nye be wogblɔ na mi be miewu amesi milɔ̃ wu le xexe siame,"""Les plus susceptibles te diront que c'est parce que tu es attiré par les avantages de service et le vol les mécanismes de réparation individuelle et circonstanciée des dégâts causés par la conjoncture économique à la condition du fonctionnaire (mais ces gens là on les appelle les jaloux""""€¦ tout simplement).""",ewe-fra,afrolingu
esiawo doa dzidzɔ na mi eye miedoa ŋugbe be yewoazɔ mɔ ke miewɔnae gbeɖe o la,"Celle-là qui vous émerveille et vous fait vous promettre de prendre à votre tour la route, sans jamais passer à l’acte",ewe-fra,afrolingu
“L’internet caché n’est plus caché et votre activité anonyme n’est pas anonyme,Miaƒe yaʋala ɣaɣla la megale ɣaɣla o eye miaƒe dɔwɔnamaɖoŋkoe la dze le go gbe.,fra-ewe,mafand
J’étais occupé à appliquer mon imagination à autre chose,menɔ nhye susu tsɔm de nu bubu me,fra-ewe,afrolingu
"Il fallait bien sà»r s'y attendre sachant qu'il traite de l'esclavage des noirs aux à‰tats Unis, mais on n'est jamais assez préparé face aux horreurs décrites,",ke miakpɔ mɔ ele nuƒom tso ameƒeƒle ŋu le america gake miedzraɖo na alesi wogblɔe le agbãlɛame o,fra-ewe,afrolingu
"esi mele kaƒomɔa tsom le eme dem la, eɖi eye Hervee nye ekem le yɔyem","Au moment d’y plonger mon téléphone, il s’alluma encore : c’était Hervé qui appelait",ewe-fra,afrolingu
"au Cameroun nous en sommes arrivés à nous contenter de peu, au point d'accorder tres peu d'importance à nos propres vies","nenye be camrail kple dziɖuɖua da vo le nya siawo me hã la, miawo hã sie mele ɖeke tsɔm le eme na miaƒe agbe le mɔzɔnyawo gome o la hã miatɔ le eme",fra-ewe,afrolingu
"On a hâte de voir le mariage », a indiqué Mabinty Touré Keïta",Mabinty Touré Keïta be yewo le te nɔm kpɔ alɔlélé́.,fra-ewe,mafand
Miedze agbagba be miawu ene nyuie.,Nous avons essayé de terminer sur une bonne note au fur et à mesure,ewe-fra,mafand
"En témoigne le projet de création du centre d’archives LGBT promis depuis 20 ans, cependant jamais concrétisé en raison des différends entre élus et associations",Kpɔɖeŋuae nye agbalẽdzraɖoɖiƒe si ŋugbe wodo be woatu ƒe 20 sɔŋue nye esia ke mekpɔ emevava o le nugɔmemase si le dudzikpɔƒea kple habɔbɔ aɖewo me la ta.,fra-ewe,mafand
dziɖuɖu sia na medinatɔ geɖe trɔ dzime eye mɔslem kple islam dze vɔvɔ̃ ɖoɖo na du bubuwoe,Cette victoire des musulmans a contribué à la conversion de nombreux médinois et à accroître la crainte des autres peuples pour les musulmans et l’islam,ewe-fra,afrolingu
kple KK la ɖeviwo srɔ̃nu kuɖe aɖaŋuɖemɔ ƒe teƒewo ŋu alesi woadi nu to yaʋala dzi eye gɔme dzedze ko nye ma,"Grâce à l'équipe KK, les enfants ont appris les différents composants d'un ordinateur, comment utiliser internet pour faire des recherches, et ce n'est que le début,",ewe-fra,afrolingu
"Le créatif peut rencontrer différents types de blocages,",nuwɔwɔ yéyé ateŋu do go kuxi aɖewo,fra-ewe,afrolingu
""""""" Cliquez pour partager sur WhatsApp(ouvre dans une nouvelle fenêtre) Cliquez pour partager sur Facebook(ouvre dans une nouvelle fenêtre) Cliquez pour partager sur Twitter(ouvre dans une nouvelle fenêtre)""",ɖee madze agbagba be mafia nui abe Yowl ene loo alo ɖeko maklã ɖa le eŋu abe Aude ene,fra-ewe,afrolingu
"asese be woama kamalo ɖa tso senegal,Tchad pkle Gambi gbɔ",Il serait difficile de détacher le Cameroun du Tchad ou la Gambie du Sénégal.,ewe-fra,afrolingu
"chouchou nye dɔwɔla le dudɔnunɔƒe aɖe eye wonya dunyawo,kple dunuwotakpɔkpɔnyawo nyuie","Chouchou travaille dans un Ministère au Cameroun et a donc une belle expérience du monde de la politique, de la diplomatie et de l’administration publique",ewe-fra,afrolingu
"Le professeur Tchan Guillaume Djé Bi, a publié « Réseaux sociaux et performances en français chez les élèves du secondaire » mais on n’a même pas besoin de lire son ouvrage pour deviner que les résultats sont catastrophiques",mehia miaxlẽ nufiala Tchan Guillaume Djé Bi ƒe agbalẽ tso ɖeviwo ƒe ŋgɔdede le frãsegbe me kple aɖaŋuɖenuwo hafi mianya nye nu sia le nu gblem o,fra-ewe,afrolingu
ɖee midasi susu aɖewo dzi alo miedasiɖe dzi oa,"Est-ce que vous partagez ou certaines de ces idées ou les désapprouvez,",ewe-fra,afrolingu
"eƒe numetoto ɖo ŋku outliers dzi nam esi Malcolm be ame aɖewo kpɔa dz,ogbenyui hena ŋgɔyiyi",Le parcours du fondateur de Pétro Ivoire me rappelle le livre « Outliers » de Malcolm Gladwell qui explique que certaines personnes ont plus de chances de réussir que d’autres,ewe-fra,afrolingu
"« Si la Défense souhaite recevoir le projet anglais de ce document qui a déjà été préparé, il peut demander au greffe de le fournir », poursuit le juge avant d’observer",Ne wole esi wotrɔ ɖe ɛɣlisigbe me dim la woate ŋu abia faa.,fra-ewe,mafand
"« La décision d’aujourd’hui montre clairement que personne n’est au-dessus des lois, pas même une organisation ou un individu portant le nom Trump »",Kodzoa ɖee fia be ame aɖeke alo adzɔ aɖeke mele ta na se o nenye be etɔ Trump gɔ̃.,fra-ewe,mafand
Eɖo aƒea me eye wo tikpo to srɔa ƒe afɔ siwo woɖo ɖe mɔadzi la ta.,"Elle entra, salua et sauta par dessus les jambes étalées de son mari.",ewe-fra,afrolingu
Wolée ɖi tso nyitsɔ dzoɖagbe sie kpovitɔnumekuƒea yɔe lae.,"Convoqué par la brigade d’investigation judiciaire malienne, lundi, il a été depuis placé en garde à vue",ewe-fra,mafand
Alo le ote d'ivoire ɖee woɖea kpovitɔwo le woƒe dɔwɔna me ne womena gbe ame do ŋgɔ oa.,"Sinon, est-il possible en Côte d’Ivoire de filmer un policier dans l’exercice de ses fonctions, sans son approbation",ewe-fra,mafand
"L’expert onusien exhorte le CNSP, les responsables de la junte au pouvoir, à respecter scrupuleusement les droits des personnes arrêtées, notamment le droit de communiquer avec leurs familles et leurs avocats et de recevoir des visites, en particulier des membres de leur famille","Ele biabiam tso CNSP kple asrafoawo si be wonena ame siwo wole la dzena na su wo sí abe nuƒo kple woƒe ƒomet,ɔwo alo taʋlilawo kple woƒe ƒometɔwo nava dzi wo kpɔe.",fra-ewe,mafand
Tout est donc investi dans le matériel.,wozã gawo katã ɖe dɔwɔnuwo ŋu,fra-ewe,afrolingu
J'ai quitté la queue et je me suis mise en retrait.,medo le kame heɖe ɖokuinye ɖe aga,fra-ewe,afrolingu
"Au lieu de ça, elle m’ignore royalement et ne prend même pas la peine de répondre quand je la salue",ɖeko woɖia gbɔm ahe gbe gbelɔlɔ̃ nam gɔ̃,fra-ewe,afrolingu
Elumelu nye Afrikavi eneawo dome meɖeka.,Elumelu est l’un des quatre seuls Africains sur la liste 2020,ewe-fra,mafand
Dɔyɔla ƒe kpeɖeŋutɔ gbatakpɔla?,"Qui est l'infirmier de garde ?,",ewe-fra,afrolingu
et doivent agir les uns envers les autres dans un esprit de fraternité.,eye be woawɔna nu ɖe wo nɔewo gbɔ le novisilélé me,fra-ewe,afrolingu
Le fichier électoral comporte aujourd’hui 54 millions d’inscrits,Ame miliɔn 54 ye le agbalẽa me.,fra-ewe,mafand
Les faits qui lui sont reprochés auraient été commis sur 3 garçons mineurs entre décembre 2006 et décembre 2009,Wobe ewɔ hlɔ̃donuawo ɖe ɖevi ŋutsuvi etɔ̃ dzi tso ƒè 2006 yi 2009 me.,fra-ewe,mafand
Ena ŋusẽdoamenya 10 bene woawɔ ɖe wodzi hena mɔnukpɔkpɔ nana nyɔnuwo kple ame siwo le gome kpɔm le avudonamenyawo me lae.,"Ce dernier proposait au réseau social dix recommandations destinées à le rendre plus transparent et plus sûr pour les personnes victimes de violences et de harcèlement, peu importe leur genre",ewe-fra,mafand
"Ils commencent à avoir des notions en anglais dès l'âge de 2 ans en cours de pré-maternelle, et ils sont complètement bilingues lorsqu'ils sortent de l'école,",wodze ŋlɛsi gbe fiafia ɖoɖo gome kpliwo tso ƒe eve xɔxɔ dzi eye wodoa kple gbe eve dola,fra-ewe,afrolingu
"Le Burkina Faso a procédé ce mardi 22 septembre 2020, à l’inauguration de sa première usine de production des panneaux solaires",Burkina fasso kpe eƒe dɔwɔƒe sie anɔ ŋdɔkutsulatrikinuwo wɔm la le braɖa anyɔnyɔ 22 lia gbe,fra-ewe,afrolingu
"Il ne fait pas bon vivre au PSG actuellement et pour cause, la situation financière qui plombe les transferts ainsi que les peines retenues contre Nasser Al-Khelaïfi",nuwo mele edzi dzem le PSG fifia o le alesi wotumɔ na ameƒeƒle kple nya si wotsɔ ɖe nasser ŋu la ta,fra-ewe,afrolingu
"Le tombeau contenait aussi les restes de 11 chevaux, bovins et chiens et était entouré de 40 à 60 autres tombes",Wobe wokpɔ sɔ kple avu kpakple nyiƒuwo hã le yɔdoa me kpakple yɔdo bubu siwo le teƒea mlae.,fra-ewe,mafand
medaa ŋku kpɔa Cyriac Gbogou nutakpɔla la ne hoʋlila aɖewo na ga si kpɔ ge woala lae,Je lançais souvent des clins d’oeil au chef de village Cyriac Gbogou lorsque certains candidats annonçaient leurs potentiels chiffres d’affaire,ewe-fra,afrolingu
chouchou mpako kpɔkpɔ zu kekeli,et ma rencontre avec Chouchou Mpako a produit des étincelles,ewe-fra,afrolingu
"« Cette décision, c’est une avancée », s’est félicité Emmanuel Macron",Emmanuel Macron be ɖoɖo sia nye ŋgɔdede vavã.,fra-ewe,mafand
"Il passe directement du Juvenil A aux stars que sont Messi, Griezmann, sans pour autant passer par l’équipe B",Etso ɖoƒe etɔ lia va gbatɔ si mee Messi lple Griezman wole zi ɖeka le esime meto ɖoƒe evelia o.,fra-ewe,mafand
Egblɔ nae be,Elle lui dit :,ewe-fra,afrolingu
C’est celle que les blancs ont utilisé pour nous réduire en esclavage et nous coloniser,esiae yevuwo zã hete mi ɖe anyi eye wosa mi hã,fra-ewe,afrolingu
"Mais tout le monde ne souffre pas de la même façon », a souligné la célèbre adolescente dans un communiqué",ke hã ame sia ame mele veve sem le nɔnɔme ɖeka nu o,fra-ewe,afrolingu
"Il hume la vapeur qui émane de sa tasse, avant d’allumer une cigarette :",egbɔ yézó si le dodom le kɔpu la me hafi tɔ sigarɛti,fra-ewe,afrolingu
"""""""La chosification de la femme est un sujet battu et rebattu, nous ne nous attarderons donc pas dessus. """"""",mieƒonu geɖe le nyɔnuwo bubu abe nu ene ŋu eye mele be míagagu ɣeyiɣi le eŋu fifia ke o,fra-ewe,afrolingu
"Nya sia norma baker sie ŋlɔ agbalẽ ""nu si fiaƒomea le ɣaɣlam ɖe mi lae"" la hã da asi ɖe edzi.","Un avis partagé par Norman Baker, auteur du livre « Ce que la famille royale ne veut pas que vous sachiez »",ewe-fra,mafand
"Mwoouii, grommela-t-il, en faisant mine d’ôter sa ceinture",elɔ̃ ɖewoɖewo koe hele eƒe bɛlɛti ʋum,fra-ewe,afrolingu
Elumelu dans sa liste annuelle des 100 personnes les plus influentes au monde TIME100 2020,Elumelu be enye ame 100 siwo gbe amewo sena wú le TIME100 2020 me.,fra-ewe,mafand
"""La """"«"""" petite"""" """"» corruption s'est installée dans nos vies .""",zãnuɖuɖu suetɔ kekeake xɔ nɔƒe ɖe mí katã ƒe agbeme,fra-ewe,afrolingu
mevɔna be nɔwo agbem,J’avais peur de perdre ta mère,ewe-fra,afrolingu
"eee, mega ɖefu na ɖokuiwo o","– Eh, ne me fatigue pas",ewe-fra,afrolingu
"ne womegale dɔ wɔm o hã la, dɔkplɔha xoxoa aɖo akɔŋta na dukɔa kple xexea","En fonction ou pas, le précédent comité est comptable devant le peuple, et devant l’histoire",ewe-fra,afrolingu
mekpɔ na nuwɔna sia ŋutɔ,"J'attendais beaucoup de cet évènement,",ewe-fra,afrolingu
"«gake enye nyɔnu» ɛ menye nyɔnu,gake nukata maɖe asi le nye susuwo ŋu le srɔ̃ɖeɖe me","« Mais tu es une femme » Oui, je suis une femme, mais pourquoi devrais-je restreindre mes rêves au mariage,",ewe-fra,afrolingu
Aminata Kane est une aînée que j’admire beaucoup et que j’appréciais déjà même avant d’être musulmane,aminata kane nye danye aɖe sie meɖudɔna xoxo hafi vazu mɔslɛmtɔ,fra-ewe,afrolingu
"Au contraire, ceux-ci jubilaient déjà à l’idée de voir mourir son jeune dès le lendemain, dévoré par les vers mangeurs d’hommes, car ils allaient se partager ses troupeaux !",Wole dzidzɔ kpɔm xoxo bom be wo le ɖevi la vuvu ge le ŋkeke si kplɔ yeƒe kua do esi me woakplɔ lãwo yi tsi no ƒe.,fra-ewe,afrolingu
– avoir au moins 1 an d’expérience professionnelle dans l’entretien de locaux administratifs,Axɔ ƒè ɖeka teti le dɔsiawowɔwɔ mee.,fra-ewe,mafand
en vue d'assurer la reconnaissance et le respect des droits et libertés d'autrui et,ale be woate ŋu ade bubu ame bubu hã ƒe vovokpɔkpɔ kple dzena ŋue,fra-ewe,afrolingu
mele be nadii ʋuu hafi anya be hame siawo mee wofaa nuƒluƒluwo ɖe amewo ƒe tame le,"""""""Pourtant, pas besoin de chercher de midi à h pour se rendre compte que ce sont des établissements dans lesquels les fideles sont spoliés, et parfois abrutis. """"""",ewe-fra,afrolingu
Miga ɖiɖi dukplɔla putine ƒe nyaɖoɖa si wowɔ be woakpe du siwo di abɔtala le yaʋaladzi o.,«N’essayez pas de relativiser la proposition constructive du Président Poutine visant à convoquer une conférence en ligne de pays intéressés par la coopération en matière de création de vaccins contre le Covid,ewe-fra,mafand
mebia na mi be miawɔ ʋliʋli siwo katã siwo miado go le ƒe sia me,"Je vous souhaite de relever tous les défis qui se présenteront à vous pendant cette nouvelle année,",ewe-fra,afrolingu
Menye nye didi be made dzre nɔvidu eve dome le yaʋala dzi o.,Ça n’a jamais été mon but de mettre deux pays frères en clash sur les réseaux sociaux,ewe-fra,mafand
"miele memleɖa aɖe gbe, kwasiɖa etɔ̃ le aristide ƒe ku megbe","Nous sommes un Samedi, Trois semaines après la mort d’Aristide…",ewe-fra,afrolingu
"Dehors, devant tes devanciers, on te lavera de cette eau dont on lave les êtres qui nous sont attribués","le xexe la, le tɔwowo katã ŋkume la, woale tsi si nye miatɔ la na wo",fra-ewe,afrolingu
meƒoa nu xekɔa nu haha,» Je parle et ris aux éclats,ewe-fra,afrolingu
ewɔ nuku nawo be amesiwo medzesi wonɔewo la wɔ ɖoɖo na mɔzɔzɔ̃ eye be wodo go le ŋukeke ma dzi,"Elles n'arrivaient pas à croire que des personnes qui ne s'étaient jamais vues en vrai décident de préparer un voyage ensemble à distance et ne se rencontrent que le jour J,",ewe-fra,afrolingu
"Ça ne me concerne pas, va voir un autre.",Mekam o. Yi ame bubu gbɔ.,fra-ewe,afrolingu
Ali hã le nuƒo dom nam,"Je fais une insuffisance rénale aussi,",ewe-fra,afrolingu
"amesi gblɔ be míawɔ ɖoɖo tɔxɛ sia na dukplɔla la gblɔ be yeanɔ ekafum ɖaa,elabe eɖe yeƒe agbe","""""""Le nouveau directeur, qui nous a promis de faire de le chaîne nationale """"le tam-tam du Président""""€, a déclaré que celui dont il chantera désormais publiquement les louanges lui a sauvé la vie. """"""",ewe-fra,afrolingu
"eye gawu la, menyo be mavagblɔ be woenye nye tsoƒe na dzɔgbevɔ̃e o","Et au-delà, tu ne mérites pas que je te brandisse comme cause de mon malheur",ewe-fra,afrolingu
Ame gbãtɔ si agbɔ la ayi paradiso me.,Le premier qui respire ira au paradis.,ewe-fra,afrolingu
»« Comment est-ce que j’aurais pu,aleke mate ŋuie,fra-ewe,afrolingu
Je l’ai surtout trouvé engagé pour une promotion de l’islam qui était une sorte de réaction à l’évangélisme chrétien,mebunae be enye ʋiʋlila na mɔslɛm he kristohanufifia ŋgɔ,fra-ewe,afrolingu
Je trouve d’ailleurs que je ne lis pas autant que je le pourrais parce que je suis bien trop souvent distraite avec les réseaux sociaux,yaʋala na hã be nyemele exlẽ sɔgbɔ o,fra-ewe,afrolingu
"dzena li na ame sia ame be woanɔ agbe, avo eye woadzi dedienɔnɔ na eɖokui","Tout individu a droit à la vie, à la liberté et à la sûreté de sa personne",ewe-fra,afrolingu
me egɔmee nye be woaɖiɖi adodoenyenye dzi na agbalẽawo ke woaɖiɖi gbea dzi alebe ame sɔgbɔ nalɔ̃ agbalẽa xexlẽ,Il ne s’agit pas d’alléger la qualité des textes mais de faire en sorte qu’un plus grand nombre de personnes aient envie de lire et ne s’ennuient pas,ewe-fra,afrolingu
Aɖaŋuɖenyawo ga do gã kuxi siwo li xoxo kuɖe wɔminyenye aloo alo ƒeè alo nu bububuwo la.,"Reconnaissant les efforts du G-20 et des institutions financières internationales, qui ont allongé les délais de paiement de la dette, la RDC les invite “à prendre d’autres décisions en vue de son annulation totale”, a ajouté le président dans son discours vidéo pré-enregistré",ewe-fra,mafand
"Bon nombre de ses anciens salariés le critiquent pour ses manières de faire, mais un plus grand nombre encore semble le porter en admiration",dɔwɔla xoxo geɖewo hea nya ɖe eŋu gake yeye bubuwo hã doa eŋkɔ ɖe dzi,fra-ewe,afrolingu
megabu nusiaŋu kpɔ esime mekpɔe,"Je repensais encore à cette scène lorsque je l'ai remarqué,",ewe-fra,afrolingu
"Nous poussâmes le grand portail, bras chargés de nos bibelots",miaƒe nuwo le asi me na mí mieʋu agbo gã la,fra-ewe,afrolingu
Mevɔ o elabe  Luis Suarez hã le dzodzo ge kpuie.,"Ce n’est pas fini, puisqu’il devrait être rapidement suivi par  Luis Suarez",ewe-fra,mafand
Eƒe lɔlawo tsi dzimaɖi be yewogale eŋkɔ sege gbe ɖeka mahà.,Ses fans commençaient à s’impatienter de pouvoir l’écouter un jour,ewe-fra,mafand
"Esi nyemate ŋu awɔ ƒèmekɔŋta oa, medzi be maɖe agbalẽ siwo mexlẽ la ƒe xexlẽme fia mi","À défaut de faire un bilan global, je viens partager avec vous ma désormais presque traditionnelle liste de livres lus cette année",ewe-fra,afrolingu
enye nukokoedonametɔ gã ɖe,"C'est une grande farceuse,",ewe-fra,afrolingu
miedɔ zi to na ŋkɔŋɔŋlɔwo elabe miegbẽ ame si nu miedzi la nu hoho,On a malheureusement dû mettre un terme aux inscriptions parce qu’on avait dépassé le nombre d’enfants initialement prévus,ewe-fra,afrolingu
mieɖu zãmenu hã le afima eye nu ɖuɖua nyo,"Le Président Sud-Africain Cyril Ramaphosa, a saisi l’opportunité pour plaider pour plus de représentativité de l’Afrique au sein du Conseil de sécurité de l’ONU",ewe-fra,afrolingu
Mais il ne s’attendait certainement pas à ce qui allait suivre,ke menɔ te nɔm kpɔ nu si ayi edzi o,fra-ewe,afrolingu
"ne wo kple ve koe li la, woaɖo dze godoo",Ils ont peut-être besoin de se retrouver seuls pour échanger,ewe-fra,afrolingu
Ke the sun be ga si woaxe le vɔnu la de dzi ŋutɔ.,"Seulement, selon The Sun, les frais de justice de la mère de famille sont très élevés",ewe-fra,mafand
zã le tsitsim eye alɔ dze sɔ̃wom,"Il se fait tard, et tu tombes de sommeil",ewe-fra,afrolingu
"Après cette candidature, une réaction folle de la part de la partie américaine est arrivée","Le ŋkɔdaɖi sia megbe la, Amerikatɔwo tsi tsitre ɖe eŋu vevie.",fra-ewe,mafand
"""""""On veut voir pour croire, et ces pasteurs l'ont compris. """"""",osɔfowo nya be míedzi be míakpɔe hafi axɔe see,fra-ewe,afrolingu
"le Buaké la, mekpɔ dzidzɔ esime menɔ anyi ɖe flɛsɛ nu","A Bouaké je suis ravie de pouvoir m'asseoir au hublot,",ewe-fra,afrolingu
do gbe na nɔwo ne eyi aƒemea,Elle a juste dit “Faut saluer ta maman quand tu seras rentré“,ewe-fra,afrolingu
ɖewohĩ esiae nye miaƒe kuxiwo gɔmedzedze,"Peut-être était-ce là, le début de nos ennuis",ewe-fra,afrolingu
"Ne le esime miaɖo dze nèbe yazi ɖoɖui la, ekem kuxi evee le afima.","Si vous préférez garder le silence au lieu de débattre, cela peut indiquer deux problèmes",ewe-fra,mafand
"Xavi est pour l’instant le joueur le plus capé de l’histoire du club, avec 767 matches, mais Messi est juste en embuscade avec 731 unités",ele vevie na ame sia ame be,fra-ewe,afrolingu
Le pays fait également partie du top 10 mondial des pays producteurs d’avocats devant l’Afrique du Sud et le Rwanda,Dua le du 10 siwo dea peyagble le xexeame la dome.,fra-ewe,mafand
"Meka nusi susum wole tso ŋunye o la, maɖe fia ame sia ame be amegblɔe kple vɔvɔnɔtɔ si woyɔa nam la mele eteƒe o. Ke ɖiƒoƒo ame koe.","Malgré tout ce qu’on pense de moi, je vais quand même montrer que les qualifcatifs de « lâche » et de « poltron » qu’on m’attribue ne sont que purs mensonges et viles médisances.",ewe-fra,afrolingu
Je ne les avais pas inclus dans les potentiels bénéficiaires.,nyemebuwo ɖe gomekpɔlawo me o,fra-ewe,afrolingu
heureuse de réaliser qu’on se préparait à accueillir le nouveau-né,dzidzɔm elabe wole dzadzraɖo ɖi akpe vidzĩ la,fra-ewe,afrolingu
afɔkpo ɖeka pɛɛ ɖe dɔme koe awuii,Il a suffit d'un seul coup de pied au ventre pour qu'elle perde la vie.,ewe-fra,afrolingu
